"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260615)","Sessions (20260615)","Sessions with cart additions (20260615)","Sessions that reached checkout (20260615)","Sessions that completed checkout (20260615)","Conversion rate (20260615)","Pageviews (20260615)","Checkout conversion rate (20260615)","Added to cart rate (20260615)","Reached checkout rate (20260615)","Sessions that reached and completed checkout (20260615)","Average session duration (20260615)","Pageviews per session (20260615)","Bounce rate (20260615)","Completed checkout rate (20260615)","Bounces (20260615)","Online store visitors (20260615) ","Sessions (20260615) ","Sessions with cart additions (20260615) ","Sessions that reached checkout (20260615) ","Sessions that completed checkout (20260615) ","Conversion rate (20260615) ","Pageviews (20260615) ","Checkout conversion rate (20260615) ","Added to cart rate (20260615) ","Reached checkout rate (20260615) ","Sessions that reached and completed checkout (20260615) ","Average session duration (20260615) ","Pageviews per session (20260615) ","Bounce rate (20260615) ","Completed checkout rate (20260615) ","Bounces (20260615) "
"Collection","/collections/silicone-ass",109,112,4,2,0,0,484,0,0.03571428571428571,0.017857142857142856,0,238.61607142857142,4.321428571428571,0.375,0,42,109,112,4,2,0,0,484,0,0.03571428571428571,0.017857142857142856,0,238.61607142857142,4.321428571428571,0.375,0,42,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/vibrating-sex-doll-torso",109,111,1,1,0,0,278,0,0.009009009009009009,0.009009009009009009,0,113.42342342342343,2.5045045045045047,0.5855855855855856,0,65,109,111,1,1,0,0,278,0,0.009009009009009009,0.009009009009009009,0,113.42342342342343,2.5045045045045047,0.5855855855855856,0,65,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/18s-sex-doll",102,103,0,0,0,0,317,,0,0,0,134.35922330097088,3.0776699029126213,0.6213592233009708,,64,102,103,0,0,0,0,317,,0,0,0,134.35922330097088,3.0776699029126213,0.6213592233009708,,64,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/lesbian-sex-doll-torso",100,102,1,0,0,0,208,,0.00980392156862745,0,0,54.23529411764706,2.0392156862745097,0.6666666666666666,,68,100,102,1,0,0,0,208,,0.00980392156862745,0,0,54.23529411764706,2.0392156862745097,0.6666666666666666,,68,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/anime-mini-sex-doll",94,96,1,1,1,0.010416666666666666,220,1,0.010416666666666666,0.010416666666666666,1,74.1875,2.2916666666666665,0.6875,1,66,94,96,1,1,1,0.010416666666666666,220,1,0.010416666666666666,0.010416666666666666,1,74.1875,2.2916666666666665,0.6875,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Custom Page","/pages/sex-doll-gif",90,92,0,0,0,0,142,,0,0,0,26.5,1.5434782608695652,0.8260869565217391,,76,90,92,0,0,0,0,142,,0,0,0,26.5,1.5434782608695652,0.8260869565217391,,76,0,0,,,,,0,,,,,0,0,0,,0
"Product","/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass",81,85,0,0,0,0,300,,0,0,0,220.85882352941175,3.5294117647058822,0.5647058823529412,,48,81,85,0,0,0,0,300,,0,0,0,220.85882352941175,3.5294117647058822,0.5647058823529412,,48,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/animal-hentai-sex-doll",78,81,0,0,0,0,320,,0,0,0,198.74074074074073,3.950617283950617,0.4567901234567901,,37,78,81,0,0,0,0,320,,0,0,0,198.74074074074073,3.950617283950617,0.4567901234567901,,37,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/bbw-sex-doll-torso",75,76,1,1,0,0,204,0,0.013157894736842105,0.013157894736842105,0,120.96052631578948,2.6842105263157894,0.5526315789473685,0,42,75,76,1,1,0,0,204,0,0.013157894736842105,0.013157894736842105,0,120.96052631578948,2.6842105263157894,0.5526315789473685,0,42,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll",73,74,0,0,0,0,115,,0,0,0,96.44594594594595,1.554054054054054,0.8648648648648649,,64,73,74,0,0,0,0,115,,0,0,0,96.44594594594595,1.554054054054054,0.8648648648648649,,64,0,0,,,,,0,,,,,0,0,0,,0
"Product","/products/t901-21-51lb-c-cup-7-08-dildo-electric-shemale-big-penis-male-female-sex-doll-torso-adult-toys",73,73,0,0,0,0,73,,0,0,0,0,1,1,,73,73,73,0,0,0,0,73,,0,0,0,0,1,1,,73,0,0,,,,,0,,,,,,0,0,,0
"Collection","/collections/bbw-black-sex-doll",66,69,2,1,0,0,236,0,0.028985507246376812,0.014492753623188406,0,200.0144927536232,3.420289855072464,0.6231884057971014,0,43,66,69,2,1,0,0,236,0,0.028985507246376812,0.014492753623188406,0,200.0144927536232,3.420289855072464,0.6231884057971014,0,43,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/torso-shemale-sex-doll",68,68,1,1,0,0,210,0,0.014705882352941176,0.014705882352941176,0,203.80882352941177,3.088235294117647,0.45588235294117646,0,31,68,68,1,1,0,0,210,0,0.014705882352941176,0.014705882352941176,0,203.80882352941177,3.088235294117647,0.45588235294117646,0,31,0,0,0,0,,,0,,0,0,,0,0,0,,0
,"/ja/blogs/featured-blog/how-to-make-fake-pussy",65,68,0,0,0,0,78,,0,0,0,21.970588235294116,1.1470588235294117,0.9117647058823529,,62,65,68,0,0,0,0,78,,0,0,0,21.970588235294116,1.1470588235294117,0.9117647058823529,,62,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/mini-sex-doll",64,67,0,0,0,0,127,,0,0,0,60.95522388059702,1.8955223880597014,0.6119402985074627,,41,64,67,0,0,0,0,127,,0,0,0,60.95522388059702,1.8955223880597014,0.6119402985074627,,41,0,0,,,,,0,,,,,0,0,0,,0
"List of Collections","/collections/vendors",60,65,1,1,1,0.015384615384615385,268,1,0.015384615384615385,0.015384615384615385,1,192.98461538461538,4.123076923076923,0.38461538461538464,1,25,60,65,1,1,1,0.015384615384615385,268,1,0.015384615384615385,0.015384615384615385,1,192.98461538461538,4.123076923076923,0.38461538461538464,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/silicone-pocket-pussy",64,64,4,4,0,0,236,0,0.0625,0.0625,0,149.390625,3.6875,0.65625,0,42,64,64,4,4,0,0,236,0,0.0625,0.0625,0,149.390625,3.6875,0.65625,0,42,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/life-size-anime-sex-doll",60,62,0,0,0,0,343,,0,0,0,325.01612903225805,5.532258064516129,0.27419354838709675,,17,60,62,0,0,0,0,343,,0,0,0,325.01612903225805,5.532258064516129,0.27419354838709675,,17,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/sex-doll-head",61,61,1,0,0,0,360,,0.01639344262295082,0,0,206.34426229508196,5.901639344262295,0.19672131147540983,,12,61,61,1,0,0,0,360,,0.01639344262295082,0,0,206.34426229508196,5.901639344262295,0.19672131147540983,,12,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/mini-sex-doll-torso",60,61,0,0,0,0,164,,0,0,0,150.62295081967213,2.6885245901639343,0.5737704918032787,,35,60,61,0,0,0,0,164,,0,0,0,150.62295081967213,2.6885245901639343,0.5737704918032787,,35,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/best-seller-sex-dolls-under-200",61,61,2,0,0,0,164,,0.03278688524590164,0,0,191.31147540983608,2.6885245901639343,0.5081967213114754,,31,61,61,2,0,0,0,164,,0.03278688524590164,0,0,191.31147540983608,2.6885245901639343,0.5081967213114754,,31,0,0,0,,,,0,,0,,,0,0,0,,0
"Blog Article","/blogs/dolls-info-qustions/how-to-titty-fuck-experience-the-ultimate-pleasure-with-a-huge-breast-sex-doll",60,60,0,0,0,0,108,,0,0,0,73.21666666666667,1.8,0.7666666666666667,,46,60,60,0,0,0,0,108,,0,0,0,73.21666666666667,1.8,0.7666666666666667,,46,0,0,,,,,0,,,,,0,0,0,,0
,"/de/blogs/featured-blog/how-to-make-fake-pussy",60,60,0,0,0,0,64,,0,0,0,15.1,1.0666666666666667,0.9333333333333333,,56,60,60,0,0,0,0,64,,0,0,0,15.1,1.0666666666666667,0.9333333333333333,,56,0,0,,,,,0,,,,,0,0,0,,0
"Product","/products/57-32lb-sex-doll-torso-with-life-size-ass-and-soft-skin-512-sex-doll-torso",59,59,0,0,0,0,203,,0,0,0,169.15254237288136,3.440677966101695,0.6101694915254238,,36,59,59,0,0,0,0,203,,0,0,0,169.15254237288136,3.440677966101695,0.6101694915254238,,36,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/robotic-sex-doll",53,54,0,0,0,0,211,,0,0,0,159.61111111111111,3.9074074074074074,0.48148148148148145,,26,53,54,0,0,0,0,211,,0,0,0,159.61111111111111,3.9074074074074074,0.48148148148148145,,26,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca",45,54,3,2,0,0,504,0,0.05555555555555555,0.037037037037037035,0,491.6296296296296,9.333333333333334,0.1111111111111111,0,6,45,54,3,2,0,0,504,0,0.05555555555555555,0.037037037037037035,0,491.6296296296296,9.333333333333334,0.1111111111111111,0,6,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/ros-sex-doll-heads-1",52,53,0,0,0,0,117,,0,0,0,99.0754716981132,2.207547169811321,0.5660377358490566,,30,52,53,0,0,0,0,117,,0,0,0,99.0754716981132,2.207547169811321,0.5660377358490566,,30,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/life-size-shemale-sex-doll",52,53,1,1,0,0,206,0,0.018867924528301886,0.018867924528301886,0,220.03773584905662,3.8867924528301887,0.5283018867924528,0,28,52,53,1,1,0,0,206,0,0.018867924528301886,0.018867924528301886,0,220.03773584905662,3.8867924528301887,0.5283018867924528,0,28,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/pocket-pussy-ass",51,51,0,0,0,0,99,,0,0,0,106.19607843137256,1.9411764705882353,0.6666666666666666,,34,51,51,0,0,0,0,99,,0,0,0,106.19607843137256,1.9411764705882353,0.6666666666666666,,34,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/petite-sex-doll",47,49,0,0,0,0,128,,0,0,0,204.08163265306123,2.6122448979591835,0.4489795918367347,,22,47,49,0,0,0,0,128,,0,0,0,204.08163265306123,2.6122448979591835,0.4489795918367347,,22,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-feet",46,48,0,0,0,0,136,,0,0,0,211.39583333333334,2.8333333333333335,0.6458333333333334,,31,46,48,0,0,0,0,136,,0,0,0,211.39583333333334,2.8333333333333335,0.6458333333333334,,31,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/fake-pussy-hentai-sex-doll",47,47,1,1,1,0.02127659574468085,100,1,0.02127659574468085,0.02127659574468085,1,58.91489361702128,2.127659574468085,0.6808510638297872,1,32,47,47,1,1,1,0.02127659574468085,100,1,0.02127659574468085,0.02127659574468085,1,58.91489361702128,2.127659574468085,0.6808510638297872,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/torso-dildo",43,45,0,0,0,0,81,,0,0,0,89.8,1.8,0.5777777777777777,,26,43,45,0,0,0,0,81,,0,0,0,89.8,1.8,0.5777777777777777,,26,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/chinese-sex-doll",43,45,0,0,0,0,90,,0,0,0,81.53333333333333,2,0.6222222222222222,,28,43,45,0,0,0,0,90,,0,0,0,81.53333333333333,2,0.6222222222222222,,28,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/life-sized-sex-doll",43,44,0,0,0,0,116,,0,0,0,186.0681818181818,2.6363636363636362,0.5227272727272727,,23,43,44,0,0,0,0,116,,0,0,0,186.0681818181818,2.6363636363636362,0.5227272727272727,,23,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/dolls-info-qustions/gentlemans-paradise-exploring-nsfw-anime-figures-and-sex-dolls",42,44,0,0,0,0,207,,0,0,0,190.27272727272728,4.704545454545454,0.6818181818181818,,30,42,44,0,0,0,0,207,,0,0,0,190.27272727272728,4.704545454545454,0.6818181818181818,,30,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/blogs/featured-blog/how-to-make-fake-pussy",42,42,0,0,0,0,51,,0,0,0,18.785714285714285,1.2142857142857142,0.9285714285714286,,39,42,42,0,0,0,0,51,,0,0,0,18.785714285714285,1.2142857142857142,0.9285714285714286,,39,0,0,,,,,0,,,,,0,0,0,,0
,"/en-fi/blogs/featured-blog/how-to-make-fake-pussy",41,41,0,0,0,0,63,,0,0,0,12.24390243902439,1.5365853658536586,0.8292682926829268,,34,41,41,0,0,0,0,63,,0,0,0,12.24390243902439,1.5365853658536586,0.8292682926829268,,34,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/under-1000-full-doll",31,41,2,2,0,0,148,0,0.04878048780487805,0.04878048780487805,0,169.17073170731706,3.6097560975609757,0.5365853658536586,0,22,31,41,2,2,0,0,148,0,0.04878048780487805,0.04878048780487805,0,169.17073170731706,3.6097560975609757,0.5365853658536586,0,22,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/foot-pocket-pussy",39,40,0,0,0,0,82,,0,0,0,49.9,2.05,0.65,,26,39,40,0,0,0,0,82,,0,0,0,49.9,2.05,0.65,,26,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/celebrity-sex-dolls",40,40,0,0,0,0,152,,0,0,0,107.7,3.8,0.425,,17,40,40,0,0,0,0,152,,0,0,0,107.7,3.8,0.425,,17,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/all",39,40,0,0,0,0,148,,0,0,0,200.525,3.7,0.475,,19,39,40,0,0,0,0,148,,0,0,0,200.525,3.7,0.475,,19,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/alien-sex-dolls",38,40,1,0,0,0,165,,0.025,0,0,260.275,4.125,0.4,,16,38,40,1,0,0,0,165,,0.025,0,0,260.275,4.125,0.4,,16,0,0,0,,,,0,,0,,,0,0,0,,0
"Blog Article","/blogs/real-sex-doll-reviews-pros-cons-real-usage-tests/2026-meru-hentai-sex-doll-review-comprehensive-comparison-of-4-hot-models",39,39,0,0,0,0,58,,0,0,0,54.717948717948715,1.4871794871794872,0.7435897435897436,,29,39,39,0,0,0,0,58,,0,0,0,54.717948717948715,1.4871794871794872,0.7435897435897436,,29,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/black-male-sex-doll",38,39,0,0,0,0,89,,0,0,0,51.43589743589744,2.282051282051282,0.6923076923076923,,27,38,39,0,0,0,0,89,,0,0,0,51.43589743589744,2.282051282051282,0.6923076923076923,,27,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/young-male-sex-doll",36,39,0,0,0,0,79,,0,0,0,63,2.0256410256410255,0.6410256410256411,,25,36,39,0,0,0,0,79,,0,0,0,63,2.0256410256410255,0.6410256410256411,,25,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/full-doll",37,38,0,0,0,0,215,,0,0,0,175.68421052631578,5.657894736842105,0.2894736842105263,,11,37,38,0,0,0,0,215,,0,0,0,175.68421052631578,5.657894736842105,0.2894736842105263,,11,0,0,,,,,0,,,,,0,0,0,,0
